Job_Title_Sim,Jobs_Name,Skill,Job_Count
"Data Scientist","Sr Software Engineer (Data Scientist)",Excel,1
"Data Engineer","Sr. Data Engineer (ETL Developer)",Excel,1
"Data Engineer","Senior Data Engineer",SQL,5
"Data Scientist","Data Scientist",SQL,68
"ML Engineer","Staff Machine Learning Engineer",SQL,1
"Data Engineer","Data Engineer",SQL,29
"Data Engineer","Lead Data Engineer",SQL,1
"Data Analyst","Data Analyst",SQL,10
"Data Scientist","Staff Data Scientist - Technology",SQL,1
"Data Analyst","Marketing Data Analyst",SQL,2
"Data Scientist","Senior Data Scientist",SQL,11
"Data Scientist","Data Analytics Manager",SQL,1
"Data Scientist","Analytics Manager - Data Mart",SQL,1
"Data Scientist","Lead Data Scientist",SQL,4
"Data Scientist","Senior Machine Learning (ML) Engineer / Data Scientist - Cyber Security Analytics",SQL,1
"Data Scientist","Data Scientist - Health Data Analytics",SQL,1
"Data Engineer","Sr. Data Engineer - Contract-to-Hire (Java)",SQL,1
"Data Scientist","Data Scientist - Quantitative",SQL,1
"Data Engineer","Sr. Data Engineer",SQL,2
"ML Engineer","Machine Learning Engineer",SQL,2
"Data Scientist","Data Scientist/ML Engineer",SQL,1
"Data Analyst","Business Data Analyst, sql_",SQL,1
"Data Scientist","Senior Risk Data Scientist",SQL,1
"Data Scientist","Sr. Data Scientist",SQL,1
"Data Analyst","Data Analyst - Asset Management",SQL,1
"Data Scientist","Data Scientist - Research",SQL,1
"Data Analyst","Web Data Analyst",SQL,1
"Data Analyst","Business Intelligence Analyst / Developer",SQL,1
"Data Engineer","MongoDB Data Engineer II",SQL,1
"Data Analyst","Data & Analytics Consultant (NYC)",SQL,1
"Data Analyst","Senior Data Analyst",SQL,7
"Data Scientist","Senior Spark Engineer (Data Science)",SQL,1
"Data Scientist","Director, Data Science",SQL,1
"Data Scientist","Sr. Data Scientist - Analytics, Personalized Healthcare (PHC)",SQL,1
"Data Scientist","Data Scientist SR",SQL,1
"Data Engineer","Big Data Engineer - Chicago - Future Opportunity",SQL,1
"Data Scientist","R&D Sr Data Scientist",SQL,1
"Data Scientist","Data Scientist (Actuary, FSA or ASA)",SQL,1
"Data Analyst","Survey Data Analyst",SQL,1
"Data Scientist","Staff Data Scientist",SQL,1
"Data Scientist","Risk and Analytics IT, Data Scientist",SQL,1
"Data Analyst","Lead Health Data Analyst - Front End",SQL,1
"Data Scientist","Analytics Manager",SQL,1
"Data Analyst","Junior Data Analyst",SQL,1
"Data Engineer","sql_ Data Engineer",SQL,1
"Not Specified","Data Management Specialist",SQL,1
"Data Analyst","E-Commerce Data Analyst",SQL,1
"Data Scientist","Insurance Data Scientist",SQL,1
"Data Analyst","Insurance Financial Data Analyst",SQL,1
"Data Engineer","Data Engineer I - Azure",SQL,1
"Data Scientist","Sr. Data Scientist II",SQL,1
"Data Analyst","Information Security Data Analyst",SQL,2
"Data Analyst","Excel / VBA / sql_ Data Analyst",SQL,1
"Data Scientist","Data Scientist, Rice University",SQL,1
"Data Scientist","VP, Data Science",SQL,1
"Data Scientist","Data Scientist, Senior",SQL,1
"Data Analyst","Financial Data Analyst",SQL,1
"Data Scientist","PL Actuarial-Lead Data Scientist",SQL,1
"ML Engineer","Senior Data & Machine Learning Scientist",SQL,1
"Data Analyst","CONSULTANTâ€“ DATA ANALYTICS GROUP",SQL,1
"Data Scientist","Data Scientist II",SQL,1
"Data Engineer","Data Engineer, Data Engineering and Artifical Intelligence",SQL,1
"Data Analyst","Analytics - Business Assurance Data Analyst",SQL,1
"Data Analyst","Sr. Data Analyst",SQL,3
"Data Analyst","Products Data Analyst II",SQL,1
"Data Analyst","Program/Data Analyst",SQL,1
"Data Analyst","Data Analyst Senior",SQL,1
"Data Analyst","Lead Data Analyst",SQL,1
"Data Scientist","Data Science Engineer - Mobile",SQL,1
"Other Scientist","RESEARCH COMPUTER SCIENTIST - RESEARCH ENGINEER - SR. COMPUTER SCIENTIST - SOFTWARE DEVELOPMENT",SQL,1
"Data Scientist","Sr Expert Data Science, Advanced Visual Analytics (Associate level)",SQL,1
"Data Engineer","Principal Data Engineer, Data Platform & Insights",SQL,1
"Data Analyst","IT Associate Data Analyst",SQL,1
"Data Analyst","Clinical Data Analyst",SQL,1
"Data Analyst","Business Data Analyst",SQL,1
"Data Scientist","Data Scientist - Sales",SQL,1
"Data Scientist","Director Data Science",SQL,1
"Data Analyst","Sr Data Analyst - IT",SQL,1
"Not Specified","Data Operations Lead",SQL,1
"Data Analyst","Data Analyst 2 (Missionary Department)",SQL,1
"ML Engineer","Principal Machine Learning Scientist",SQL,1
"Data Analyst","Supply Chain Data Analyst",SQL,1
"Data Engineer","Data Engineer - ETL",SQL,1
"Data Modeler","Data Modeler (Analytical Systems)",SQL,1
"Data Engineer","Staff Data Engineer",SQL,1
"Data Scientist","Product Manager/Data Evangelist",SQL,1
"Data Analyst","Senior Data Analyst/Scientist",SQL,1
"Data Modeler","Data Architect / Data Modeler",SQL,1
"Data Analyst","Data Analyst, Performance Partnership",SQL,1
"Data Engineer","Big Data Engineer",SQL,1
"Data Engineer","Data Engineering Analyst",SQL,1
"Data Scientist","Manager of Data Science",SQL,1
"Data Scientist","Data Science Manager",SQL,1
"Data Analyst","Senior Quantitative Analyst",SQL,1
"Data Scientist","Data Scientist Manager",SQL,1
"Data Scientist","Product Engineer â€“ Data Science",SQL,1
"Data Engineer","Software Data Engineer - College",SQL,1
"Data Engineer","Associate Data Engineer",SQL,1
"Data Engineer","Staff BI and Data Engineer",SQL,1
"ML Engineer","Machine Learning Engineer - Regulatory",SQL,1
"ML Engineer","Research Scientist, Machine Learning Department",SQL,1
"Data Engineer","Associate Director, Platform and DevOps- Data Engineering and Aritifical Intelligence",SQL,1
"Data Analyst","Foundational Community Supports Data Analyst",SQL,1
"Data Scientist","Data Scientist - Systems Engineering",SQL,1
"Data Analyst","Senior Health Data Analyst, Star Ratings",SQL,1
"Not Specified","Senior Engineer, Data Management Engineering",SQL,1
"Other Scientist","Software Engineer Staff Scientist: Human Language Technologies",SQL,1
"Data Engineer","Data Engineer - Consultant (Charlotte Based)",SQL,1
"Data Analyst","Data Analyst 1, full-time contract worker for up to 12 months",SQL,1
